TargetItem,OtherItem,Cluster,Similarity,CommonUsers
B000JE4594,B00005KJUG,2,0.0,0
B000JE4594,B00R7QZRFI,2,0.0,0
B000JE4594,B00R7WL29C,2,0.0,0
B000JE4594,B00R8GYAEG,2,0.0,0
B000JE4594,B00J64Z6HS,2,0.0,0
B000JE4594,B00R8I54X0,2,0.0,0
B000JE4594,B00R8IR51Y,2,0.0,0
B000JE4594,B00R8K4J8E,2,0.0,0
B000JE4594,B00R8JYNMM,2,0.0,0
B000JE4594,B00LBKFYAE,2,0.0,0
B000JE4594,B00R8M3NHA,2,0.0,0
B000JE4594,B00R8MOQ0S,2,0.0,0
B000JE4594,B00R8P2Z30,2,0.0,0
B000JE4594,B007PODKQK,2,0.0,0
B000JE4594,B00R8VW43K,2,0.0,0
B000JE4594,B00R8WYKGS,2,0.0,0
B000JE4594,B00R96PHK6,2,0.0,0
B000JE4594,B00R9DJ7NM,2,0.0,0
B000JE4594,B00R9DSO1I,2,0.0,0
B000JE4594,B00R7VRZDU,2,0.0,0
B000JE4594,B00R7QJRV8,2,0.0,0
B000JE4594,B00R6MKX2K,2,0.0,0
B000JE4594,B00R7QUIGG,2,0.0,0
B000JE4594,B00R6R0D1G,2,0.0,0
B000JE4594,B008XM1ZZG,2,0.0,0
B000JE4594,B00R6TU0KI,2,0.0,0
B000JE4594,B00R6VJ4NU,2,0.0,0
B000JE4594,B00CY36RSK,2,0.0,0
B000JE4594,B004S2QYLA,2,0.0,0
B000JE4594,B00R71GGN0,2,0.0,0
B000JE4594,B00R71P1TA,2,0.0,0
B000JE4594,B00R7850FS,2,0.0,0
B000JE4594,B00KXC6FM2,2,0.0,0
B000JE4594,B00R7DP2WE,2,0.0,0
B000JE4594,B00R7J9WQU,2,0.0,0
B000JE4594,B00R7JQ3EO,2,0.0,0
B000JE4594,B00R7N82G2,2,0.0,0
B000JE4594,B00R7OI29S,2,0.0,0
B000JE4594,B00R7QQ0PE,2,0.0,0
B000JE4594,B00R7QULZ4,2,0.0,0
B000JE4594,B00KGKPZ7W,2,0.0,0
B000JE4594,B00R9JLB4O,2,0.0,0
B000JE4594,B00R9JUH9O,2,0.0,0
B000JE4594,B00FN8KXOW,2,0.0,0
B000JE4594,B00RBZALAG,2,0.0,0
B000JE4594,B00RC0D3XM,2,0.0,0
B000JE4594,B00RC2DX8A,2,0.0,0
B000JE4594,B00RC4B1U0,2,0.0,0
B000JE4594,B00RC7F3EM,2,0.0,0
B000JE4594,B00RCBJPVK,2,0.0,0
B000JE4594,B00RCD1YVC,2,0.0,0
B000JE4594,B00RCCYTLK,2,0.0,0
B000JE4594,B00RCCLE1I,2,0.0,0
B000JE4594,B00RCCNJJI,2,0.0,0
B000JE4594,B00RCD1PZC,2,0.0,0
B000JE4594,B00RCDMCNG,2,0.0,0
B000JE4594,B00IJO5C2K,2,0.0,0
B000JE4594,B00RCKAVXC,2,0.0,0
B000JE4594,B00RCL02UI,2,0.0,0
B000JE4594,B00RCQ55V4,2,0.0,0
B000JE4594,B00RCSSLSG,2,0.0,0
B000JE4594,B00RBV7SB0,2,0.0,0
B000JE4594,B00RBL20LI,2,0.0,0
B000JE4594,B00RBEIHPS,2,0.0,0
B000JE4594,B00RAM0HW2,2,0.0,0
B000JE4594,B00R9Q87H6,2,0.0,0
B000JE4594,B00R9R4RZ6,2,0.0,0
B000JE4594,B00R9R4ZMG,2,0.0,0
B000JE4594,B00R9X98E0,2,0.0,0
B000JE4594,B00R9XGTJ2,2,0.0,0
B000JE4594,B00RA6TDT6,2,0.0,0
B000JE4594,B00RA99EZQ,2,0.0,0
B000JE4594,B00K0RLOOE,2,0.0,0
B000JE4594,B00RBD7BGK,2,0.0,0
B000JE4594,B00RAPAEH2,2,0.0,0
B000JE4594,B002EC4Z5S,2,0.0,0
B000JE4594,B00RB2WRSI,2,0.0,0
B000JE4594,B00RB2RVNE,2,0.0,0
B000JE4594,B00RB71TMI,2,0.0,0
B000JE4594,B00RBACCRG,2,0.0,0
B000JE4594,B00RBAFBOM,2,0.0,0
B000JE4594,B00R6LTIL8,2,0.0,0
B000JE4594,B00R6G89J0,2,0.0,0
B000JE4594,B00R126XLK,2,0.0,0
B000JE4594,B00R2DXHHG,2,0.0,0
B000JE4594,B00R2EFY7G,2,0.0,0
B000JE4594,B00R2ICYV6,2,0.0,0
B000JE4594,B004C9NETY,2,0.0,0
B000JE4594,B00R2N8AJ6,2,0.0,0
B000JE4594,B00R2MR5XY,2,0.0,0
B000JE4594,B00R2QQYAK,2,0.0,0
B000JE4594,B00R2UMIG0,2,0.0,0
B000JE4594,B00AV4YB64,2,0.0,0
B000JE4594,B00R34CB7Q,2,0.0,0
B000JE4594,B00HCQF6UY,2,0.0,0
B000JE4594,B00R3HH1UA,2,0.0,0
B000JE4594,B00R3HRTSY,2,0.0,0
B000JE4594,B00R3IJKGW,2,0.0,0
B000JE4594,B00R3J6Q9A,2,0.0,0
B000JE4594,B00R3KE164,2,0.0,0
B000JE4594,B00R3N1NL2,2,0.0,0
B000JE4594,B00R3PA280,2,0.0,0
B000JE4594,B00R2EFOGW,2,0.0,0
B000JE4594,B00R2BPTGA,2,0.0,0
B000JE4594,B00NAFJR9W,2,0.0,0
B000JE4594,B00R2BPTL0,2,0.0,0
B000JE4594,B00R12XRGO,2,0.0,0
B000JE4594,B00R178FWA,2,0.0,0
B000JE4594,B00R16O8L8,2,0.0,0
B000JE4594,B00R19NE92,2,0.0,0
B000JE4594,B00R1LV1ZE,2,0.0,0
B000JE4594,B00R1NUT4Q,2,0.0,0
B000JE4594,B00R1LPCYU,2,0.0,0
B000JE4594,B00R1P6H1I,2,0.0,0
B000JE4594,B00BD16C34,2,0.0,0
B000JE4594,B00R1VAFBA,2,0.0,0
B000JE4594,B00R1WFZ8W,2,0.0,0
B000JE4594,B00R1YIS9S,2,0.0,0
B000JE4594,B00R20IE90,2,0.0,0
B000JE4594,B00R218ANY,2,0.0,0
B000JE4594,B00R23DRX0,2,0.0,0
B000JE4594,B00R26VSRY,2,0.0,0
B000JE4594,B006A8HSJW,2,0.0,0
B000JE4594,B00R3PA2HG,2,0.0,0
B000JE4594,B00R3SVZ3S,2,0.0,0
B000JE4594,B00R3Y2HL6,2,0.0,0
B000JE4594,B00R41WHZO,2,0.0,0
B000JE4594,B00R5N0HZS,2,0.0,0
B000JE4594,B00R5O471W,2,0.0,0
B000JE4594,B00R5OYC8K,2,0.0,0
B000JE4594,B00R5QB2OK,2,0.0,0
B000JE4594,B00R5QECSI,2,0.0,0
B000JE4594,B00R5S66XU,2,0.0,0
B000JE4594,B00R5YOKVO,2,0.0,0
B000JE4594,B00R5RPQ1E,2,0.0,0
B000JE4594,B00R5YR2TQ,2,0.0,0
B000JE4594,B00R5YU0EU,2,0.0,0
B000JE4594,B00R5ZN9QA,2,0.0,0
B000JE4594,B00R60FX54,2,0.0,0
B000JE4594,B00R5ZUUKI,2,0.0,0
B000JE4594,B00R63G10C,2,0.0,0
B000JE4594,B00R64TQVC,2,0.0,0
B000JE4594,B00R687BWO,2,0.0,0
B000JE4594,B00R6C88ZE,2,0.0,0
B000JE4594,B00R5JA9NM,2,0.0,0
B000JE4594,B00R5HVUEQ,2,0.0,0
B000JE4594,B00R5FZPF8,2,0.0,0
B000JE4594,B00R501WM8,2,0.0,0
B000JE4594,B00R4EMCB0,2,0.0,0
B000JE4594,B00R4R0IXG,2,0.0,0
B000JE4594,B00R4QUH88,2,0.0,0
B000JE4594,B00R4N1REO,2,0.0,0
B000JE4594,B00R4QRAR4,2,0.0,0
B000JE4594,B00R4Y0YSI,2,0.0,0
B000JE4594,B00R4Y36QK,2,0.0,0
